101	101
101	102
101	103
101	104
101	105
101	106
101	107
101	108
101	109
101	110
102	101
102	102
102	103
102	104
102	105
102	106
102	107
102	108
102	109
102	110
103	101
103	102
103	103
103	104
103	105
103	106
103	107
103	108
103	109
103	110
104	101
104	102
104	103
104	104
104	105
104	106
104	107
104	108
104	109
104	110
105	101
105	102
105	103
105	104
105	105
105	106
105	107
105	108
105	109
105	110
106	101
106	102
106	103
106	104
106	105
106	106
106	107
106	108
106	109
106	110
107	101
107	102
107	103
107	104
107	105
107	106
107	107
107	108
107	109
107	110
108	101
108	102
108	103
108	104
108	105
108	106
108	107
108	108
108	109
108	110
109	101
109	102
109	103
109	104
109	105
109	106
109	107
109	108
109	109
109	110
